"","start","end","distance"
"903","PAED","PAWD",69
"904","PAEN","PAWD",61
"905","PAFR","PAWD",69
"906","PAMR","PAWD",67
"907","PANC","PAWD",65
"908","PASP","PAWD",116
"909","PASW","PAWD",122
"910","PASX","PAWD",53
"911","PAUO","PAWD",100
"912","PAWD","PAWR",44
"913","PAWD","PAWS",87
"914","PAWD","PYL",56
"915","PAWD","T66",90
"916","PAWD","TYE",76
"917","PAWD","Z40",77
"918","PAWD","Z41",66
"919","04MT","KMLS",49
"920","04WY","KMLS",98
"921","07MT","KMLS",122
"922","10MT","KMLS",88
"923","1S3","KMLS",32
"924","20U","KMLS",84
"925","3U4","KMLS",52
"926","3V7","KMLS",85
"927","42S","KMLS",105
"928","4U6","KMLS",61
"929","5NA8","KMLS",118
"930","5ND0","KMLS",125
"931","5ND1","KMLS",84
"932","5U6","KMLS",114
"933","6U5","KMLS",127
"934","6U7","KMLS",55
"935","7U8","KMLS",79
"936","8OA5","KMLS",95
"937","8U1","KMLS",78
"938","8U6","KMLS",32
"939","97M","KMLS",65
"940","99WY","KMLS",112
"941","9MT7","KMLS",98
"942","F02","KMLS",83
"943","KBDX","KMLS",63
"944","KBHK","KMLS",68
"945","KGDV","KMLS",62
"946","KGGW","KMLS",111
"947","KJDN","KMLS",69
"948","KMLS","KOLF",101
"949","KMLS","KSDY",104
"950","KMLS","KSHR",110
"951","KMLS","M46",49
"952","KMLS","MT03",89
"953","KMLS","MT04",119
"954","KMLS","MT05",67
"955","KMLS","MT11",120
"956","KMLS","MT20",78
"957","KMLS","MT29",3
"958","KMLS","MT34",72
"959","KMLS","MT38",122
"960","KMLS","MT45",63
"961","KMLS","MT50",92
"962","KMLS","MT51",111
"963","KMLS","MT58",81
"964","KMLS","MT59",82
"965","KMLS","MT65",114
"966","KMLS","MT74",64
"967","KMLS","MT80",98
"968","KMLS","MT90",120
"969","KMLS","S85",118
"970","KMLS","SD33",97
"971","KMLS","SD76",89
"972","KMLS","WY14",119
"973","KMLS","WY37",103
"974","0AK0","PAFA",36
"975","0Z2","PAFA",103
"976","11AK","PAFA",79
"977","11Z","PAFA",62
"978","15AK","PAFA",91
"979","20K","PAFA",58
"980","29AK","PAFA",78
"981","2AK1","PAFA",30
"982","2AK2","PAFA",23
"983","2Z2","PAFA",64
"984","2Z3","PAFA",53
"985","2Z5","PAFA",1
"986","31AK","PAFA",11
"987","32AK","PAFA",6
"988","45AK","PAFA",81
"989","4AK","PAFA",45
"990","4AK5","PAFA",142
"991","51Z","PAFA",43
"992","5AK2","PAFA",14
"993","5AK3","PAFA",14
"994","5BK","PAFA",93
"995","5Z5","PAFA",112
"996","95Z","PAFA",13
"997","9AK","PAFA",50
"998","9AK4","PAFA",67
"999","AK06","PAFA",75
"1000","AK09","PAFA",77
"1001","AK13","PAFA",48
"1002","AK22","PAFA",9
"1003","AK28","PAFA",2
"1004","AK32","PAFA",28
"1005","AK41","PAFA",31
"1006","AK80","PAFA",86
"1007","CEM","PAFA",90
"1008","CHP","PAFA",92
"1009","CLF","PAFA",48
"1010","D66","PAFA",72
"1011","FVM","PAFA",83
"1012","HRR","PAFA",64
"1013","MTF","PAFA",3
"1014","PABI","PAFA",74
"1015","PACL","PAFA",45
"1016","PACR","PAFA",113
"1017","PAEI","PAFA",21
"1018","PAFA","PAFB",6
"1019","PAFA","PAIN",71
"1020","PAFA","PAML",72
"1021","PAFA","PANN",35
"1022","PAFA","PAPR",139
"1023","PAFA","PATW",90
"1024","PAFA","PAXK",124
"1025","PAFA","PFYU",124
"1026","PAFA","RMP",71
"1027","PAFA","SVS",78
"1028","PAFA","UMM",95
"1029","PAFA","WBQ",94
"1030","PAFA","Z86",109
"1031","PAFA","Z90",91
"1032","PAFA","Z91",102
"1033","03TE","KMFE",82
"1034","07R","KMFE",90
"1035","07TE","KMFE",100
"1036","08TS","KMFE",45
"1037","0TE5","KMFE",91
"1038","0TS8","KMFE",19
"1039","13TS","KMFE",85
"1040","14TS","KMFE",77
"1041","23TE","KMFE",74
"1042","25R","KMFE",17
"1043","28TA","KMFE",102
"1044","2R8","KMFE",116
"1045","2TA8","KMFE",41
"1046","2TS2","KMFE",27
"1047","2TX4","KMFE",124
"1048","30TX","KMFE",29
"1049","38XS","KMFE",41
"1050","43TX","KMFE",6
"1051","46TA","KMFE",121
"1052","47TX","KMFE",52
"1053","53XS","KMFE",35
"1054","59TS","KMFE",118
"1055","5XS6","KMFE",20
"1056","66TX","KMFE",89
"1057","67R","KMFE",36
"1058","67TX","KMFE",99
"1059","68TX","KMFE",111
"1060","69TA","KMFE",96
"1061","6TA9","KMFE",117
"1062","6TE0","KMFE",17
"1063","6TE1","KMFE",12
"1064","6XS5","KMFE",17
"1065","79TA","KMFE",124
"1066","79TE","KMFE",117
"1067","79TX","KMFE",38
"1068","7TE1","KMFE",66
"1069","7TE2","KMFE",56
"1070","7TE7","KMFE",13
"1071","80TX","KMFE",47
"1072","8TS0","KMFE",87
"1073","8TS9","KMFE",137
"1074","8TX8","KMFE",71
"1075","8XS2","KMFE",136
"1076","90TX","KMFE",119
"1077","92TA","KMFE",44
